,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-02-25 03:00:00-06:00,7543.0567404,971.7749904,2077.8408742,722.083283,9672.8315779,2084.8954148,3999.795685,952.1297656,28024.4083313
2017-02-25 04:00:00-06:00,7571.4072773,1000.3784941,2103.1497287,746.6863378,9952.3657952,2067.5333465,4072.1511374,971.8583893,28485.5305063
2017-02-25 05:00:00-06:00,7813.3589696,1052.8466296,2145.3478117,777.7165387,10565.4859019,2102.4734436,4265.4474269,1016.8954586,29739.5721806
2017-02-25 06:00:00-06:00,8180.6891497,1132.9183809,2182.8064066,831.8328048,11554.8080437,2194.931578,4647.7017647,1081.2685556,31806.956684
2017-02-25 07:00:00-06:00,8437.0906473,1227.6690097,2209.1400829,866.4719255,12361.2356633,2274.0198568,4975.4577928,1140.2494848,33491.3344631
2017-02-25 08:00:00-06:00,8909.2651321,1249.2956288,2235.9633336,889.4338866,12809.5517818,2426.4354138,5296.687081,1159.6324966,34976.2647543
2017-02-25 09:00:00-06:00,9197.4817436,1259.3992016,2233.403743,874.1655173,12759.3714726,2552.9030089,5423.3753478,1148.5831043,35448.6831391
2017-02-25 10:00:00-06:00,9308.2965311,1243.4986433,2219.8196323,836.5632787,12435.9622662,2643.5922529,5401.1737176,1115.1718869,35204.078209
2017-02-25 11:00:00-06:00,9261.4869512,1202.8292372,2189.2178376,795.5086261,11929.4212853,2704.6958819,5287.644302,1073.4016721,34444.2057934
2017-02-25 12:00:00-06:00,9210.0446271,1136.591017,2148.9033467,755.9630752,11366.2951987,2762.766857,5147.8095038,1030.1221267,33558.4957522
2017-02-25 13:00:00-06:00,9138.813001,1095.2778215,2126.0333816,727.8367191,10776.0380043,2821.6008277,5010.4101203,992.5254418,32688.5353173
2017-02-25 14:00:00-06:00,9117.3370681,1072.0872049,2101.1718344,700.5377459,10373.8594474,2869.034711,4920.387016,964.7155415,32119.1305692
2017-02-25 15:00:00-06:00,9110.8775537,1056.9218152,2082.3711512,684.3473267,10144.2635278,2897.9119186,4892.1445188,953.362752,31822.200564
2017-02-25 16:00:00-06:00,9127.880046,1053.3296197,2078.3052036,681.7058734,10078.4683168,2881.5734634,4908.9452256,956.736624,31766.9443725
2017-02-25 17:00:00-06:00,9109.0712556,1086.862192,2090.47379,695.0939174,10261.381414,2814.9199851,4993.9387662,972.8281559,32024.5694762
2017-02-25 18:00:00-06:00,9306.9955377,1163.0337058,2094.5297154,738.0632397,10952.1160482,2792.0973164,5224.9613015,1014.4472274,33286.2440921
2017-02-25 19:00:00-06:00,9473.5070741,1214.2506319,2160.1692621,771.5596082,11483.6512354,2842.6860564,5458.1137803,1056.4980555,34460.4357039
2017-02-25 20:00:00-06:00,9384.7311258,1225.3895303,2180.4391717,786.2056177,11599.5606624,2774.4256046,5397.8204687,1053.5156422,34402.0878234
2017-02-25 21:00:00-06:00,9203.0083526,1197.5868153,2189.1860331,791.5354662,11568.508943,2698.4175829,5297.2242513,1046.2686605,33991.7361049
2017-02-25 22:00:00-06:00,8890.7579257,1181.5392764,2178.4925288,777.6647904,11323.7269007,2593.2505258,5103.0182998,1023.7846484,33072.234896
2017-02-25 23:00:00-06:00,8508.1763113,1139.7457038,2145.5743787,760.5306641,10971.794916,2449.6555692,4861.2669745,993.7822791,31830.5267967
2017-02-26 00:00:00-06:00,8180.8740907,1108.6289229,2131.6252754,747.8563959,10626.6003402,2268.8248939,4654.7881663,1009.8081045,30729.0061898
2017-02-26 01:00:00-06:00,7971.514873,1092.4851203,2122.2698418,740.0738497,10405.8240164,2168.1803505,4522.1042985,996.6751534,30019.1275036
2017-02-26 02:00:00-06:00,7851.9634885,1059.9414361,2122.3514596,742.0653822,10296.6827435,2098.5947177,4473.0173849,996.1971107,29640.8137232
2017-02-26 03:00:00-06:00,7798.9806586,1088.8886386,2122.1904706,745.7576391,10373.8836636,2058.413642,4406.8577189,1002.9175515,29597.8899829
2017-02-26 04:00:00-06:00,7831.1011518,1110.882414,2128.0527067,756.8177253,10519.2945426,2042.401969,4438.0986445,1013.9116687,29840.5608226
2017-02-26 05:00:00-06:00,7920.4601039,1151.0143251,2139.9493574,765.056002,10811.012687,2063.8139629,4531.8860907,1033.4697547,30416.6622837
2017-02-26 06:00:00-06:00,8113.6142211,1208.9598197,2157.8141476,793.1948476,11328.919112,2112.8473346,4734.8344778,1052.6948475,31502.8788079
