//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,WZ_SOUTHERN,18,8.302,23.615,0.000,31.917,23.841,0.000,32.143,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,19,17.298,14.971,0.000,32.269,15.099,0.000,32.397,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,20,28.831,3.483,0.000,32.314,3.611,0.000,32.441,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,21,28.648,3.604,0.000,32.252,3.744,0.000,32.392,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,22,29.161,2.826,0.000,31.986,2.962,0.000,32.123,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,23,15.936,15.301,0.000,31.237,15.488,0.000,31.424,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTHERN,24,15.834,15.141,0.000,30.975,15.324,0.000,31.159,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,1,41.777,-11.264,0.000,30.513,-11.736,0.000,30.041,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,2,47.236,-16.131,0.000,31.105,-16.531,0.000,30.705,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,3,52.955,-19.997,0.000,32.958,-20.454,0.000,32.501,+0.0000e+000,+0.0000e+000,+0.0000e+000
